stat,model,r,MAE,RMSE,n
BB_pct,League average,-0.0256,0.0195,0.025,153
BB_pct,Prior year only,0.6126,0.0171,0.0218,132
BB_pct,Marcel (no age adj),0.5665,0.0162,0.021,153
BB_pct,Marcel (full system),0.5665,0.0158,0.0208,153
K_pct,League average,-0.0486,0.0412,0.0519,153
K_pct,Prior year only,0.8641,0.0218,0.0267,132
K_pct,Marcel (no age adj),0.8583,0.0211,0.0265,153
K_pct,Marcel (full system),0.8575,0.0212,0.0266,153
HR_pct,League average,-0.0638,0.0144,0.017,153
HR_pct,Prior year only,0.6982,0.0095,0.013,132
HR_pct,Marcel (no age adj),0.7626,0.0083,0.0108,153
HR_pct,Marcel (full system),0.7604,0.0084,0.0108,153
ISO,League average,-0.0593,0.0504,0.0603,153
ISO,Prior year only,0.6768,0.0353,0.047,132
ISO,Marcel (no age adj),0.7352,0.0308,0.0403,153
ISO,Marcel (full system),0.734,0.0303,0.0401,153
wOBA,League average,-0.0101,0.0275,0.0343,153
wOBA,Prior year only,0.5383,0.0249,0.0322,132
wOBA,Marcel (no age adj),0.5469,0.0225,0.0295,153
wOBA,Marcel (full system),0.5563,0.0223,0.029,153
