player_id,player_name,projection_year,age,n_seasons,PA_proj,BB_pct_proj,K_pct_proj,HR_pct_proj,ISO_proj,wOBA_proj,OBP_proj,SLG_proj,name_en,player_name_en,Team,PA,AVG,OBP,SLG,OPS,HR,BB,SO,WAR_actual,proj_OPS
10106,최정,2026,39,3,535.6666666666666,0.1018712197397792,0.1924717208148111,0.056992473428678,0.268116419908727,0.4024451243165064,0.3803227370506876,0.5556950605740418,Choi Jeong,Choi Jeong,26 3B,288.0,0.308,0.403,0.608,1.011,18,36,61,2.68,0.9360177976247295
10165,양의지,2026,39,3,504.0,0.0887563228476478,0.1282546581196316,0.0364674620840732,0.1845074175956511,0.3888014193112739,0.3883065297250984,0.503944517626946,Yang Eui-ji,Yang Eui-ji,26 C,321.0,0.25,0.343,0.408,0.751,11,26,36,1.2,0.8922510473520444
10187,김현수,2026,38,3,563.6666666666666,0.0938519431732632,0.1334742250714754,0.0182187565594504,0.1260761465287994,0.3480773056533342,0.3657351322405002,0.4216376805181725,Kim Hyun-soo,Kim Hyun-soo,26 1B,360.0,0.294,0.356,0.417,0.773,6,31,38,1.12,0.7873728127586728
10189,박건우,2026,36,3,507.0,0.0992317614727272,0.1460226477909077,0.0198307812925099,0.137326528707212,0.3742498589893675,0.3938813512510744,0.4569965223849058,Park Geon-woo,Park Geon-woo,26 RF,309.0,0.285,0.369,0.485,0.854,14,39,58,1.16,0.8508778736359801
10344,최형우,2026,42,3,514.6666666666666,0.109670628681583,0.1811119063488982,0.0415380688781777,0.2147572912522127,0.3876644864048268,0.3810150508321528,0.5115481359803056,Choi Hyung-woo,Choi Hyung-woo,26 DH,336.0,0.324,0.423,0.496,0.919,11,49,47,1.91,0.8925631868124584
10892,구자욱,2026,33,3,566.3333333333334,0.1120009139445322,0.1469527152371673,0.0326887283799131,0.1974681604340865,0.3990892400330657,0.4020289572822653,0.5176099247568151,Koo Ja-wook,Koo Ja-wook,26 LF,274.0,0.338,0.42,0.526,0.946,8,33,39,2.29,0.9196388820390804
13168,강백호,2026,26,3,605.0,0.1235396143514743,0.1708815682334435,0.0352737548317033,0.1871035953903458,0.3948775051413991,0.4002104420001736,0.5019399667609046,Kang Baek-ho,Kang Baek-ho,26 DH,333.0,0.32,0.387,0.612,0.999,23,34,66,2.88,0.9021504087610781
14125,노시환,2026,26,3,606.6666666666666,0.1120756319795675,0.2010368582169285,0.0459021536648109,0.2138934854944083,0.372794140093141,0.3637197556641067,0.4871751141756623,Noh Si-hwan,Noh Si-hwan,26 3B,331.0,0.266,0.345,0.486,0.831,17,31,91,2.35,0.8508948698397689
14797,나승엽,2026,24,1,489.0,0.133575594693088,0.1640387151305695,0.0185928082234925,0.1619210968386324,0.3778096763921883,0.3988986520694631,0.462782254350839,Na Seong-beom,Na Seong-beom,26 RF,322.0,0.294,0.382,0.527,0.909,16,36,86,2.69,0.8616809064203022
15056,김도영,2026,23,1,625.0,0.1030367894350044,0.1681390313406766,0.0592378507048944,0.2863456102260278,0.4402882840592,0.4101501594915575,0.6208691174690513,Kim Do-young,Kim Do-young,26 3B,360.0,0.297,0.392,0.614,1.006,26,45,56,5.04,1.0310192769606088
15530,에레디아,2026,35,2,557.0,0.0638213062733056,0.1390458613293853,0.0273513092676344,0.1497203211510791,0.3794663758119663,0.3847891959053784,0.4815420781136094,Heredia,Heredia,26 LF,362.0,0.283,0.337,0.462,0.799,15,22,58,1.26,0.8663312740189878
15532,오스틴,2026,35,3,562.0,0.1070005706329429,0.1353031883816695,0.0490306243368359,0.2354670254952354,0.3955263233432995,0.3789801680891296,0.5423301450347344,Austin,Austin,26 1B,364.0,0.348,0.426,0.677,1.103,27,40,55,5.01,0.921310313123864
16106,레이예스,2026,32,2,637.5,0.0859954467020263,0.1202247341456461,0.0207028194176056,0.1457393332703793,0.373548791049791,0.382954256959503,0.4718611699016534,Reyes,Reyes,26 LF,361.0,0.34,0.399,0.5,0.899,11,32,40,2.48,0.8548154268611564
16162,디아즈,2026,30,1,628.0,0.0954055978806243,0.1608220946138082,0.0701868862244847,0.2936375417412769,0.4142004476957608,0.3737728727177674,0.5983225662991789,Diaz,Diaz,26 1B,371.0,0.295,0.38,0.497,0.877,15,45,56,2.7,0.9720954390169463
