player_id,player_name,projection_year,age,n_seasons,PA_proj,BB_pct_proj,K_pct_proj,HR_pct_proj,ISO_proj,wOBA_proj,OBP_proj,SLG_proj
10008,김선빈,2026,37,3,508.6666666666667,0.07985763317867918,0.08385488704008999,0.010167989372650744,0.07996822309115652,0.335510662543755,0.3716557245329203,0.38876111059229657
10014,안치홍,2026,36,3,529.6666666666666,0.09442600816385782,0.12685651935222966,0.022002055738468043,0.12828569749151147,0.3435714783668225,0.36248694884649196,0.41771893382559466
10106,최정,2026,39,3,535.6666666666666,0.10187121973977926,0.19247172081481112,0.056992473428678046,0.26811641990872703,0.4024451243165064,0.38032273705068764,0.5556950605740418
10165,양의지,2026,39,3,504.0,0.08875632284764781,0.12825465811963163,0.036467462084073234,0.18450741759565117,0.3888014193112739,0.3883065297250984,0.503944517626946
10182,최주환,2026,38,3,484.6666666666667,0.08212085556738098,0.1723418415268513,0.03394417625759895,0.1775774512241701,0.33549635735185107,0.3280403539470581,0.43766455917392094
10184,허경민,2026,36,3,477.6666666666667,0.07905268448198732,0.07884225851558674,0.013025960798490251,0.09989517181565244,0.3303448554523983,0.35650086145582355,0.38433647020942535
10187,김현수,2026,38,3,563.6666666666666,0.09385194317326324,0.13347422507147547,0.01821875655945044,0.12607614652879948,0.3480773056533342,0.36573513224050025,0.4216376805181725
10189,박건우,2026,36,3,507.0,0.09923176147272723,0.14602264779090773,0.01983078129250995,0.13732652870721207,0.3742498589893675,0.39388135125107443,0.4569965223849058
10195,정수빈,2026,36,3,579.0,0.11181213370425623,0.12351425740414343,0.008955748583129306,0.08889508089808225,0.3214903242440849,0.36218182206699573,0.36043577962108814
10232,강민호,2026,41,3,470.6666666666667,0.07851390871746201,0.1432683180407429,0.03343516342718357,0.1714539701739687,0.35286669825842926,0.3502297015483249,0.45795629698025603
10235,장성우,2026,37,3,477.6666666666667,0.10748016439938778,0.18193434469171824,0.030166322256861194,0.1463049250004464,0.3295104708805219,0.3405666102769858,0.4078867756538465
10261,손아섭,2026,38,3,612.0,0.08447713990599033,0.12605558212679638,0.009439268729335187,0.1051584304343629,0.34860457749869966,0.37210563846442646,0.4172255348077295
10266,전준우,2026,40,3,504.6666666666667,0.08892631725404955,0.15865936129622144,0.027496494715208125,0.16401071621528118,0.36186349647748883,0.3675782794461935,0.46172183577770726
10320,김상수,2026,39,3,508.6666666666667,0.09886551173655649,0.13596390297040992,0.010802545266631271,0.09490090104909428,0.3304002791225381,0.36473894571930976,0.3781053875086857
10344,최형우,2026,42,3,514.6666666666666,0.10967062868158303,0.18111190634889826,0.04153806887817772,0.21475729125221277,0.3876644864048268,0.3810150508321528,0.5115481359803056
10387,박동원,2026,36,3,500.6666666666667,0.11066279463412111,0.22536654474142764,0.03998758551912317,0.1916304947888126,0.3424979479635849,0.3394572985617546,0.44881812593356457
10407,황재균,2026,39,3,515.0,0.08727508129235854,0.16859214629440508,0.018037270028319376,0.12674463421927679,0.3357787396891247,0.35068008901567593,0.4108557823898022
10470,박병호,2026,40,3,485.6666666666667,0.08430158566548536,0.26015320388643914,0.04890904311102999,0.21502707755128406,0.35967811979387365,0.3434675357865047,0.48378826053232565
10475,오지환,2026,36,3,514.3333333333334,0.10211692990699081,0.20918477302593574,0.02995220199440519,0.16489703859313293,0.334766361980876,0.34075612088950386,0.42545502912326844
10643,김재환,2026,38,3,517.6666666666666,0.11722802178711411,0.26025448385748373,0.03993351066659138,0.19548238829855047,0.35246031209706713,0.3497657676669581,0.4521993073947627
10804,박승욱,2026,34,1,468.0,0.09932780412604302,0.24858685617734164,0.015122668819936015,0.10701514741178551,0.3217705925506354,0.34925805481862354,0.369494167474918
10815,한유섬,2026,37,3,525.0,0.10334666230556144,0.2263528144146329,0.03843478239312346,0.19113370277641895,0.3576933538602597,0.3562223732708409,0.45915204324770137
10892,구자욱,2026,33,3,566.3333333333334,0.11200091394453224,0.14695271523716733,0.03268872837991319,0.19746816043408655,0.39908924003306573,0.40202895728226534,0.5176099247568151
10894,류지혁,2026,32,3,487.6666666666667,0.09103733659493077,0.1567443301308279,0.0034692265637409694,0.050692512838188666,0.2988922372352839,0.3487803416194039,0.31991903693017454
11087,강승호,2026,32,3,504.0,0.06311494291801277,0.24137477816487796,0.022121140835775294,0.14850518398806636,0.32021899994394626,0.31900053313760846,0.41451753834792704
11137,박민우,2026,33,3,501.6666666666667,0.0986665532688737,0.1387934869959047,0.006105467254793954,0.10256592830714767,0.3508597425933317,0.38574463434960565,0.40696128787114094
11172,권희동,2026,36,3,507.0,0.14006460707631457,0.16482196747447075,0.022700958480430643,0.14260139824964913,0.3558717978608861,0.38844299964556833,0.4142354920930506
11190,박해민,2026,36,3,551.6666666666666,0.099880054576969,0.17515687112207057,0.00985419059157156,0.08475459197172061,0.31075280623514806,0.35289022488398963,0.35629582928325765
11213,양석환,2026,35,3,540.3333333333334,0.07799629591322804,0.22148222411701776,0.043242991002267285,0.19154287123605035,0.3338964846853297,0.31832278363196376,0.4451215522005997
11215,채은성,2026,36,3,540.3333333333334,0.08066782643451194,0.18272241856812446,0.03699299001792532,0.17704738745779935,0.3498395003044074,0.3459047303500789,0.45058577105718955
11261,박찬호,2026,53,3,559.6666666666666,0.08427959153357038,0.11408986869962769,0.010422631642218287,0.08929367990768917,0.3271038420896955,0.3576732158367609,0.38646755617896983
11339,김민혁,2026,32,1,448.0,0.08539344970973496,0.11751846066585654,0.008533771281107518,0.09180613220290298,0.322813474049613,0.35330402080269563,0.38063983193909334
11376,송성문,2026,30,3,616.3333333333334,0.09731820612943562,0.13707387796474713,0.031609838452576165,0.1709554374517043,0.36689435553310223,0.3680361707402933,0.47122522040508374
12534,최원준,2026,31,3,541.6666666666666,0.08268281314381314,0.135665589133318,0.011963311125191146,0.09180754995687232,0.30645159459348703,0.3333632809518631,0.3550647871323178
12546,홍창기,2026,33,3,601.6666666666666,0.13884191793181253,0.1431300052532263,0.0020067677166089237,0.06706627571474788,0.3634924806084271,0.4236917970626523,0.37884582641520215
12905,김혜성,2026,27,3,584.6666666666666,0.08894215907377997,0.12810694038543566,0.01438100679506313,0.1096686979479598,0.358511080441933,0.3807574382161088,0.4286789682697422
12922,박성한,2026,28,3,543.6666666666666,0.12033724679725862,0.1514786610226255,0.016188247189417117,0.10518688824597197,0.33625270894528125,0.3679917015797707,0.38416017662695334
12936,김성윤,2026,27,1,538.0,0.11922706578189551,0.11286266185331102,0.013593298680131566,0.1382155446488321,0.3759475673120522,0.4072710500983731,0.4567297189976439
12995,로하스,2026,37,3,625.3333333333334,0.10670369826857609,0.1946594695633307,0.05247109595840631,0.24984401894194214,0.419729153720406,0.40031924585924444,0.5756320196704743
13056,신민재,2026,30,2,506.0,0.12072439411744099,0.10963895723694715,0.003049775401884287,0.06717346748826154,0.3362117908453348,0.3899011630459818,0.3665390936675036
13112,문성주,2026,29,2,538.0,0.10989274566939845,0.0970754409112965,0.00476684924346845,0.06758196091194549,0.3271086088050403,0.37154342267297313,0.35569746321078843
13137,정은원,2026,26,3,556.0,0.14477499917455458,0.1690445203277298,0.009972801462948615,0.08079775981312767,0.32054906407457245,0.3664858241818313,0.3366531724101706
13168,강백호,2026,26,3,605.0,0.12353961435147437,0.1708815682334435,0.03527375483170338,0.1871035953903458,0.39487750514139913,0.40021044200017364,0.5019399667609046
14125,노시환,2026,26,3,606.6666666666666,0.1120756319795675,0.2010368582169285,0.04590215366481097,0.21389348549440834,0.37279414009314105,0.3637197556641067,0.4871751141756623
14137,문보경,2026,26,3,583.6666666666666,0.11747601051726092,0.17324297986380516,0.032599179143540914,0.1787960556433405,0.36611715947304335,0.37262773983856345,0.4678206605964839
14160,고승민,2026,26,2,535.0,0.09471240494931288,0.15194302744017993,0.01680135738703449,0.1211244271478443,0.336154240913967,0.3551003789176031,0.4071911325853684
14181,오선우,2026,30,1,474.0,0.0756062549033284,0.3056019853510455,0.03553496065572953,0.1580152316824188,0.330422549955543,0.3255338369637174,0.42194021402065307
14220,서호철,2026,30,1,567.0,0.059939898479538484,0.17654079064969158,0.01862540038491378,0.10896026604089752,0.3229180995526487,0.34134240976775165,0.3895368566848837
14587,최지훈,2026,29,3,540.0,0.07810023374108492,0.1346964822727635,0.011697626137866783,0.09575536554512118,0.3064989956518885,0.3293216170023786,0.36294444953774463
14591,이주형,2026,25,2,525.5,0.08632200851372795,0.21247647611178921,0.02440933488657094,0.13383431559131254,0.32715449272931313,0.34430663569397213,0.3833104239805603
14618,김지찬,2026,25,1,535.0,0.1138760050057509,0.08573893641603508,0.010565077563325316,0.08257637172089838,0.34816262036362694,0.396658636662068,0.38785713760069834
14757,피렐라,2026,37,3,618.6666666666666,0.07956533218586431,0.13265515590229165,0.0361315661928013,0.17884268351147276,0.36740786409573517,0.3619036890060886,0.47727147456347435
14765,김주원,2026,24,3,524.3333333333334,0.10040636862086978,0.1993252272541059,0.024114693295928972,0.143219552495012,0.33768818676946827,0.3594517066904329,0.4010871355597766
14785,김휘집,2026,24,2,531.0,0.08645498554978208,0.18502645132780535,0.03318027402509369,0.1669941152581135,0.33604194939186866,0.3415601074730618,0.4166766171338998
14797,나승엽,2026,24,1,489.0,0.13357559469308805,0.1640387151305695,0.018592808223492584,0.1619210968386324,0.3778096763921883,0.3988986520694631,0.462782254350839
14807,고명준,2026,24,1,500.0,0.0494948680730714,0.18754730617481524,0.034956906762733414,0.16023249017122815,0.32503385314380484,0.311557928281705,0.43279484580311334
14867,김현준,2026,28,1,479.0,0.06488258882515509,0.17482686495881372,0.009500933465363117,0.08025599937508314,0.30139692541954427,0.32850530305720527,0.354547142343762
14888,추신수,2026,44,3,513.6666666666666,0.13916859614717822,0.1967365785251419,0.031325156673849094,0.17027581261783634,0.36241558330609797,0.3818521962146245,0.43174324096443606
14996,소크라테스,2026,34,3,588.0,0.0734145379620273,0.15234574464165196,0.033952507422002155,0.18327090812930696,0.36124914879648523,0.34971912448049464,0.480494884730265
15034,이재현,2026,27,3,517.0,0.1186888956138175,0.19035677625841757,0.027440282394924166,0.1502987020280558,0.3326093270467157,0.3525005862289038,0.4027361567550213
15035,김영웅,2026,23,2,504.0,0.0918762595224546,0.27512487157065224,0.05078546340405682,0.22225008051477566,0.3492572911550237,0.3259511109382178,0.4740774357571934
15048,윤동희,2026,23,1,613.0,0.10611367606903574,0.17643415442735155,0.0276540295635286,0.16986558303621946,0.3664740864850354,0.3735420064489835,0.45946110656693173
15056,김도영,2026,23,1,625.0,0.10303678943500448,0.16813903134067665,0.05923785070489443,0.2863456102260278,0.4402882840592,0.4101501594915575,0.6208691174690513
15092,안현민,2026,23,1,482.0,0.14461866510543567,0.14599716588523604,0.046614804267252855,0.23304593709657545,0.4301366979052576,0.4333995520789518,0.5567158633950071
15144,알포드,2026,32,1,547.0,0.09001787692220771,0.24127714895765823,0.025769101144089847,0.15750525757415873,0.3496784763481766,0.3533021643999321,0.4396881987221988
15253,김민석,2026,62,1,454.0,0.06627995889608798,0.24094813170453366,0.011133808940539735,0.10260808029105314,0.29663335352716624,0.3185911034723593,0.3635755200839915
15422,문현빈,2026,22,2,536.5,0.06672194614951898,0.15022933050557485,0.018367239488722303,0.1271979824410669,0.3389900936196159,0.35337006678698596,0.4241774812721391
15530,에레디아,2026,35,2,557.0,0.06382130627330564,0.13904586132938532,0.027351309267634447,0.14972032115107917,0.3794663758119663,0.3847891959053784,0.4815420781136094
15532,오스틴,2026,35,3,562.0,0.10700057063294295,0.13530318838166955,0.04903062433683597,0.23546702549523546,0.3955263233432995,0.37898016808912965,0.5423301450347344
15537,마틴,2026,43,1,503.0,0.10373220221389673,0.2127114535887258,0.03374407265340874,0.17661922630684931,0.3560826992901367,0.3568399141057724,0.4608682120749275
15539,로하스,2026,33,1,464.0,0.12057232439613554,0.15150678202241583,0.034597913745890184,0.1959136844986038,0.34804428459012743,0.3454144185595295,0.4467781583284078
16066,데이비슨,2026,35,1,567.0,0.07424834295218487,0.23968996203266835,0.06978433355105323,0.2881715961659743,0.40636930248994646,0.36390989463789736,0.5848286391843228
16106,레이예스,2026,32,2,637.5,0.08599544670202638,0.12022473414564615,0.020702819417605697,0.14573933327037938,0.37354879104979105,0.382954256959503,0.4718611699016534
16121,페라자,2026,28,1,522.0,0.11316945395246981,0.234548146405511,0.04254785576314995,0.19675561320214385,0.36445013954515904,0.3592941641089715,0.47106466271947317
16162,디아즈,2026,30,1,628.0,0.09540559788062439,0.1608220946138082,0.07018688622448478,0.2936375417412769,0.4142004476957608,0.3737728727177674,0.5983225662991789
16262,위즈덤,2026,35,1,486.0,0.10603719528033079,0.2743825694993558,0.06218733936746549,0.2648224878986746,0.35657782003206423,0.32314406713765925,0.5032408466424579
16300,케이브,2026,34,1,593.0,0.0761082879836515,0.1980434815263335,0.025114041295747347,0.157716806738067,0.3493152907572314,0.3492354181606437,0.450944760174627
