player_name_en,Team,PA,AVG,OBP,SLG,OPS,HR,BB,SO,WAR_actual
Kim Do-young,26 3B,360.0,0.297,0.392,0.614,1.006,26,45,56,5.04
Austin,26 1B,364.0,0.348,0.426,0.677,1.103,27,40,55,5.01
Ferraza,26 RF,359.0,0.312,0.415,0.564,0.979,17,52,70,4.56
Kim Ju-won,26 SS,355.0,0.311,0.390,0.485,0.875,13,29,46,4.41
Park Seong-han,26 SS,363.0,0.342,0.444,0.444,0.888,3,56,40,4.15
Choi Won-jun,26 RF,364.0,0.365,0.443,0.516,0.959,7,41,52,4.00
Park Min-woo,26 2B,320.0,0.340,0.442,0.449,0.891,4,45,36,3.61
Hilliard,26 CF,360.0,0.294,0.361,0.544,0.905,20,36,96,3.59
Park Chan-ho,26 SS,356.0,0.286,0.359,0.395,0.754,4,35,47,2.92
Kang Baek-ho,26 DH,333.0,0.320,0.387,0.612,0.999,23,34,66,2.88
Ryu Ji-hyeok,26 2B,315.0,0.295,0.392,0.428,0.820,5,38,46,2.77
Diaz,26 1B,371.0,0.295,0.380,0.497,0.877,15,45,56,2.70
Na Seong-beom,26 RF,322.0,0.294,0.382,0.527,0.909,16,36,86,2.69
Choi Jeong,26 3B,288.0,0.308,0.403,0.608,1.011,18,36,61,2.68
Moon Hyun-bin,26 LF,357.0,0.291,0.376,0.476,0.852,9,40,41,2.64
Reyes,26 LF,361.0,0.340,0.399,0.500,0.899,11,32,40,2.48
Noh Si-hwan,26 3B,331.0,0.266,0.345,0.486,0.831,17,31,91,2.35
Koo Ja-wook,26 LF,274.0,0.338,0.420,0.526,0.946,8,33,39,2.29
Park Hae-min,26 CF,322.0,0.287,0.362,0.366,0.728,3,27,43,2.21
Jung Joon-jae,26 2B,326.0,0.283,0.354,0.366,0.720,1,29,42,2.09
Kim Ho-ryeong,26 CF,353.0,0.281,0.325,0.450,0.775,11,20,94,2.01
Kim Ji-chan,26 CF,310.0,0.313,0.413,0.352,0.765,0,42,21,1.94
Kim Min-seok,26 LF,278.0,0.313,0.386,0.435,0.821,4,29,49,1.91
Choi Hyung-woo,26 DH,336.0,0.324,0.423,0.496,0.919,11,49,47,1.91
Park Dong-won,26 C,254.0,0.237,0.355,0.406,0.761,8,36,63,1.74
Jeon Min-jae,26 SS,286.0,0.268,0.317,0.406,0.723,8,17,59,1.73
Park Seung-gyu,26 RF,257.0,0.282,0.397,0.493,0.890,9,39,37,1.70
Jung Su-bin,26 CF,329.0,0.265,0.347,0.366,0.713,5,32,47,1.70
Kim Sang-soo,26 2B,283.0,0.278,0.381,0.312,0.693,0,35,34,1.49
Shim Woo-jun,26 SS,255.0,0.259,0.344,0.332,0.676,3,26,44,1.36
Lee Woo-sung,26 LF,298.0,0.338,0.377,0.457,0.834,6,17,43,1.31
Hong Chang-ki,26 RF,314.0,0.250,0.388,0.294,0.682,0,50,71,1.29
Heredia,26 LF,362.0,0.283,0.337,0.462,0.799,15,22,58,1.26
Cameron,26 RF,314.0,0.287,0.360,0.473,0.833,9,30,53,1.25
Yang Eui-ji,26 C,321.0,0.250,0.343,0.408,0.751,11,26,36,1.20
Park Geon-woo,26 RF,309.0,0.285,0.369,0.485,0.854,14,39,58,1.16
Kim Hyun-soo,26 1B,360.0,0.294,0.356,0.417,0.773,6,31,38,1.12
Kim Seong-yun,26 RF,255.0,0.295,0.367,0.391,0.758,2,24,27,1.07
Kim Sun-bin,26 2B,315.0,0.249,0.354,0.312,0.666,1,41,34,0.88
An Chi-hong,26 DH,304.0,0.281,0.355,0.393,0.748,6,30,44,0.83
Oh Ji-hwan,26 SS,261.0,0.241,0.322,0.362,0.684,6,25,52,0.60
Park Jae-hyun,26 LF,317.0,0.284,0.326,0.421,0.747,8,18,60,0.53
Jeon Byeong-woo,26 3B,282.0,0.223,0.348,0.348,0.696,5,30,75,0.50
Choi Ji-hoon,26 CF,335.0,0.243,0.294,0.430,0.724,10,22,47,0.41
Kim Jae-hwan,26 DH,291.0,0.211,0.340,0.393,0.733,13,45,83,0.24
Shin Min-jae,26 2B,277.0,0.249,0.338,0.262,0.600,0,31,36,0.04
Choi Ju-hwan,26 1B,276.0,0.234,0.322,0.322,0.644,3,31,38,-0.37
