season,BB_pct,K_pct,HR_pct,ISO,wOBA,OBP,SLG,wRC+,WAR,oWAR
2016,0.10290960242837048,0.14825645961353373,0.03420448656252314,0.18754349596505515,0.3885022580883986,0.3917888872436514,0.5031779817872214,123.85221736877176,3.5721585104020135,3.5040504923373064
2017,0.0890867707543026,0.1598849978037775,0.034380864912350755,0.18410661661941458,0.38021842431018643,0.3801574092560796,0.4953966777143314,122.07259114323365,3.4156143433294726,3.343133809847063
2018,0.08714348720964422,0.17108938547486033,0.03965745369009115,0.20221813437224345,0.3878546750955602,0.38075654219347244,0.5143407453690092,123.62789988238755,3.69384298735666,3.6447129520729193
2019,0.0969821930646673,0.14537956888472353,0.02331771321462043,0.1425551265229616,0.3524719775070291,0.3672221555763824,0.43414061855670105,125.02351640112465,3.57714489222118,3.51540618556701
2020,0.10125562836329026,0.15060218911300655,0.030603653402643042,0.16934908664933926,0.37004758941318594,0.37725577479225386,0.4694866200534465,125.27539261265878,3.8799959732034996,3.732199363034008
2021,0.11351730244226371,0.1577510514277282,0.025898325094075112,0.14794901497823362,0.3550339408249096,0.37229886372020954,0.43241725079318233,122.011716963034,3.4905987604220465,3.4680808677045674
2022,0.09486106961458023,0.15790259934269496,0.023640573648043024,0.14123394084254556,0.345403346280251,0.35913612936958467,0.4251473707798028,121.86762025694654,3.5879063340304755,3.5089804302360323
2023,0.09677295575764552,0.14861286980545643,0.020758988526917616,0.12997540386017423,0.3424741951575151,0.36153662560914773,0.41581320747477074,119.79505391197574,3.2799428264456463,3.2243144929204552
2024,0.09777875361364219,0.16800234200607458,0.031617082006806456,0.17041625498591137,0.36797636037618475,0.3737197277417938,0.4684630951074029,119.05044461521571,3.429804588868152,3.3430493650967907
2025,0.09962053474069874,0.16840406507611114,0.02756575216993065,0.15552710777685697,0.3525345662319536,0.36363968247044964,0.44002102324769926,121.86100231168493,3.563270379901426,3.4513839577790373
