season,K_pct,BB_pct,HR_per9,K_minus_BB,ERA,FIP,WHIP,WAR
2016,0.16959553681086934,0.07404609662225775,0.8783402489626556,0.09554944018861158,4.19352265560166,4.723710871369294,1.3963372614107883,4.598296099585062
2017,0.17749095280770752,0.06033457681400255,0.9589624939113492,0.11715637599370499,3.9202639430102284,4.576799196298101,1.3213184973209937,4.588162749634681
2018,0.19931091757077288,0.06999564919989665,1.1172747489064294,0.12931526837087623,4.557603919747807,4.796515236675545,1.385620830380489,3.7181728208010556
2019,0.17121222811847484,0.06687950109046908,0.625648268708759,0.10433272702800572,3.5731591375543448,3.8498779599673374,1.285936706905303,3.8431633306115236
2020,0.19070438852228144,0.07310475154126875,0.7307983638842601,0.11759963698101268,3.8688013937282237,4.079710346917135,1.3086099075897593,4.425229813664598
2021,0.20762377389495906,0.07950828371866947,0.747850172308287,0.1281154901762896,3.517707172533737,3.7547869496602146,1.2504083867435345,4.427924248768076
2022,0.20782424321870713,0.06580886559582443,0.632086851628468,0.1420153776228827,3.2732960729124785,3.4272950006701524,1.2212507706741724,4.330001072242327
2023,0.19455336984898752,0.06587166492781343,0.5404832556167868,0.1286817049211741,3.2578603221704117,3.504945245160379,1.227877985021902,4.38784265931892
2024,0.21243070167489003,0.0665432887954604,0.9392027089425891,0.1458874128794296,3.915428043712483,4.268058796367555,1.2765750346313685,4.3996487609666
2025,0.22646255962851186,0.06704045899074917,0.6599013075357552,0.15942210063776266,3.4910566227104187,3.48258719228303,1.230378321112939,4.295738102539797
