age,n,delta_K_pct,se_delta_K_pct,delta_BB_pct,se_delta_BB_pct,delta_HR_per9,se_delta_HR_per9,delta_ERA,se_delta_ERA,delta_FIP,se_delta_FIP,delta_K_pct_smooth,delta_BB_pct_smooth,delta_HR_per9_smooth,delta_ERA_smooth,delta_FIP_smooth
21,2,,,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,,,
23,2,,,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,,,
26,5,0.014321869363982453,0.009438890366095637,-0.010731031447376487,0.005740903897417837,-0.11952448555853479,0.15461940379889258,0.060272749024718755,0.134892549831338,-0.5710920930856092,0.37741224145488456,0.014607302943557124,0.00022254225489710608,-0.044992099749427396,-0.1526282818388716,-0.24468431233525528
27,5,0.014892736523131795,0.02194454996432715,0.011176115957170699,0.009250187580834745,0.029540286059679996,0.14014218774355808,-0.3655293127024619,0.345476482557062,0.08172346841509856,0.3320090360216119,0.016359575261522735,-0.002725805410834855,-0.004655661901266238,-0.0791952660034836,-0.22965420024971453
28,8,0.019864119897453958,0.015297705961241448,-0.008622500742298776,0.00619732485492929,0.07601721379505608,0.10697565702000238,0.06767076566729238,0.260891329319864,-0.199593976078633,0.24564601418650026,0.014655087791184367,-0.00035527902608193003,0.05384408897379552,-0.10490836405843873,-0.10695743435653626
29,13,0.00920840695296735,0.008794346136213042,-0.0036194522931177124,0.004730673009330127,0.0559747670666505,0.1482425035908241,-0.016866545140146644,0.2678053843108419,-0.2030017954060743,0.2796919974046965,0.0107672841191397,-0.003291148604914038,0.05490960135740978,0.12261285249355776,-0.11408128969029414
30,11,0.0032293255069977926,0.0057313005347640784,0.0023685072206743748,0.006001415769417277,0.032736823210522785,0.1669129803482729,0.3170343369535275,0.38792561270395065,0.0603519024138249,0.342290051475124,0.007045702178820421,-0.0005531320553153659,0.0062686812718174,-0.009174535443818743,-0.15541335655331867
31,14,0.008699374076496121,0.009070239729031577,-0.00040845109350276006,0.005906432436455736,-0.06990554646172108,0.06544108078943925,-0.3276913981448371,0.2767858383551654,-0.32359017666770656,0.20184636353944385,0.007517055076697293,-0.0006313932662066098,0.00825427789060415,0.09833489194118115,-0.11939600393337901
32,8,0.010622465646597965,0.011787241339273315,-0.003854235925791444,0.0068738121262074915,0.06193155692301075,0.06904050971495113,0.30566173701485305,0.29289655658123204,-0.0949497375462553,0.19991069434696512,0.002870508429859871,-0.001325212570093428,-0.09463861597590746,-0.09610893470661513,-0.27803331140517973
33,5,-0.010710314433514475,0.018220397001389124,0.00028704930901391986,0.008612092822456185,-0.27594185838901203,0.13490460165122206,-0.2662971429898614,0.4052456045412461,-0.41556002000157727,0.2634843448859913,-4.3924393458253705e-05,-0.001783593308388762,-0.10700515073300065,0.019682297012495856,-0.2552548787739163
34,3,,,,,,,,,,,,,,,
35,4,,,,,,,,,,,,,,,
36,3,,,,,,,,,,,,,,,
