player_id,player_name,projection_year,age,n_seasons,IP_proj,K_pct_proj,BB_pct_proj,HR_per9_proj,ERA_proj,FIP_proj
10058,양현종,2026,38,3,165.03333333333333,0.1762426697566753,0.06827872774925463,0.7124232344860327,4.31739062858139,3.9794540009579897
10126,김광현,2026,38,3,158.06666666666666,0.20623293787607533,0.0878036831701035,0.800955044727748,4.536552594032562,4.019988017972604
10590,류현진,2026,39,1,158.1,0.20345594684476087,0.049984531557158485,0.5735797136852392,3.8267630102869457,3.4363278954499137
10652,임찬규,2026,34,3,150.5,0.1788159916939111,0.0759585606992792,0.5279162232424479,3.4478841685639106,3.742469726183777
11222,하영민,2026,31,2,151.6,0.19077021239327552,0.07125666986971849,0.6490977338274688,4.6843736458882,3.934171844694043
11308,고영표,2026,35,3,172.4333333333333,0.20108652706838276,0.03566904663955901,0.350788820321176,3.1664577842768,2.8387027008025427
11310,박세웅,2026,31,3,162.43333333333334,0.20372800609688388,0.0766504013215595,0.699132179718573,4.524707334254913,3.8653991599630917
11318,엄상백,2026,30,1,156.2,0.24096317118949187,0.06249503604570097,1.3616890577448175,4.6342216067409145,4.314553777255767
11379,최원태,2026,29,3,150.79999999999998,0.19417094006862984,0.058826934271938455,0.7424461758318205,4.1110557247034905,3.7292107812827346
12295,윌커슨,2026,37,1,196.2,0.20828007207379834,0.037104721245771494,0.6915314883734597,3.8018438134231256,3.3860369470374856
12908,손주영,2026,28,2,148.6,0.21028611502323002,0.07822160372739591,0.6310575982199991,3.46580600086642,3.833307682318012
13061,곽빈,2026,27,2,157.2,0.23210469610907422,0.09406899252946052,0.6759144112811626,3.8995779349852278,3.818258335624793
13091,안우진,2026,27,2,173.1,0.2904251243762945,0.0639478488849224,0.2863111767950195,2.314142327223415,2.1262052397198943
13934,켈리,2026,37,3,173.76666666666665,0.19885502624621354,0.058361565102890575,0.44595644261529604,3.270362580293573,3.112881888200291
13941,알칸타라,2026,34,3,187.46666666666667,0.19983806922550018,0.04105100465822824,0.5804561433873785,3.024713250551361,3.1742801943145116
13942,쿠에바스,2026,36,3,171.70000000000002,0.18945351424583545,0.07443980211200489,0.7667717615372754,3.9611576799799124,4.084790888487781
14113,원태인,2026,26,3,158.46666666666667,0.18773084318899794,0.049659064459323825,0.9644938053706248,3.3104429545045164,4.095295662593869
14581,오원석,2026,25,2,144.1,0.17796867875713052,0.09365878622648507,0.8030897951739012,4.674735270841137,4.352896597629346
14600,소형준,2026,25,2,159.1,0.20544125670558208,0.04976133031896462,0.41468529273396676,3.1410744134561726,2.9793077387958933
14617,뷰캐넌,2026,37,3,175.0,0.18708629358950496,0.05983923449741449,0.343981307218406,2.9183656678413294,3.0798398612872218
14846,송승기,2026,24,1,144.0,0.2198695116702541,0.07330304407800381,0.8849824945704157,3.4192627723948648,3.7638953156611525
15011,반즈,2026,31,3,168.79999999999998,0.23865455246102532,0.07008854856756393,0.661158543430846,3.500925502188487,3.4368113827151925
15143,벤자민,2026,33,2,154.6,0.23628849245579064,0.06876658949486181,1.0706587752942611,4.096708256265402,3.817673715132324
15146,페냐,2026,36,1,177.1,0.20081013342904108,0.07479870312341914,0.595063761067675,3.599924189316049,3.705912541375259
15531,후라도,2026,30,3,190.13333333333333,0.20524752147122532,0.04735716238340679,0.7118103056568741,2.9081387424986067,3.4944729778379147
15535,페디,2026,33,1,180.1,0.2832348363001916,0.05066130673368449,0.3781876921464483,2.273979790095239,2.181089007429156
15860,코너,2026,30,1,160.0,0.2432477650439552,0.06092894907476097,1.099374399758328,3.4335141358552916,4.173817318332194
15861,레예스,2026,30,1,144.0,0.1989192870291936,0.051241910157731385,0.8975120182113547,3.748274143305115,4.016443467427
16023,엔스,2026,35,1,167.2,0.2209028518353398,0.06772922775103266,0.7210679898459007,4.091831389519884,3.7426756203579146
16065,하트,2026,34,1,157.0,0.2776582079355548,0.059608049045869985,0.5300839000426979,2.8496549622095517,2.972634435954519
16088,네일,2026,33,2,156.6,0.22302731979287005,0.057648879635303296,0.3908477091290565,2.513238472490408,3.1564788579853174
16138,헤이수스,2026,30,2,167.14999999999998,0.24327431831234647,0.0612557652847777,1.00254398817347,3.7910503517734613,3.689540248365235
16146,앤더슨,2026,32,1,171.2,0.33419006640051296,0.07105619322608096,0.5847405087776116,2.3667397233889003,2.2827820684559827
16153,와이스,2026,30,1,178.2,0.2824458747537249,0.07494065655295587,0.663405791435588,2.9672229998084685,3.026703980517491
16261,올러,2026,32,1,149.0,0.2675085944160604,0.07297154031343879,0.4190110536552504,3.501684150315734,2.722301149488009
16286,치리노스,2026,33,1,177.0,0.1927970696654313,0.05018055650503299,0.21674198342340684,3.360706044162315,2.9351603423757036
16298,콜어빈,2026,32,1,144.2,0.20513747884149003,0.1109724568937112,0.48400828070897606,4.213391415076564,4.12104221233324
16299,잭로그,2026,30,1,176.0,0.22489380953052826,0.05569544569901372,0.45834216335421607,2.9175413829491155,3.142732471126071
16313,폰세,2026,32,1,180.2,0.34128425582114424,0.05890559451607054,0.43228708625289836,2.0680970468503017,1.9095841786638972
16349,라일리,2026,30,1,172.0,0.29829151767819045,0.07638314825692463,0.8997777686912436,3.4478660029400494,3.026764408597336
16350,로건,2026,29,1,173.0,0.20992429087835468,0.08029742986786167,0.9439156684540573,4.474479840487011,4.120337395576623
