player_id,player_name,projection_year,age,IP_proj
10058,양현종,2026,38.0,173
10126,김광현,2026,38.0,167
10590,류현진,2026,39.0,169
10652,임찬규,2026,34.0,160
11222,하영민,2026,31.0,158
11308,고영표,2026,35.0,178
11310,박세웅,2026,31.0,165
11318,엄상백,2026,30.0,157
11379,최원태,2026,29.0,157
12295,윌커슨,2026,37.0,195
12908,손주영,2026,28.0,150
13061,곽빈,2026,27.0,157
13091,안우진,2026,27.0,165
13934,켈리,2026,,168
13941,알칸타라,2026,,179
13942,쿠에바스,2026,36.0,178
14113,원태인,2026,26.0,147
14581,오원석,2026,25.0,140
14600,소형준,2026,25.0,149
14617,뷰캐넌,2026,,169
14846,송승기,2026,24.0,149
15011,반즈,2026,,162
15143,벤자민,2026,,154
15146,페냐,2026,,169
15531,후라도,2026,30.0,182
15535,페디,2026,33.0,175
15860,코너,2026,,158
15861,레예스,2026,,149
16023,엔스,2026,,162
16065,하트,2026,,156
16088,네일,2026,,157
16138,헤이수스,2026,30.0,164
16146,앤더슨,2026,,165
16153,와이스,2026,,169
16261,올러,2026,32.0,161
16286,치리노스,2026,33.0,173
16298,콜어빈,2026,,149
16299,잭로그,2026,,168
16313,폰세,2026,,171
16349,라일리,2026,,166
16350,로건,2026,,166
