player_name,PPI,PPI_weighted
가뇽,-1.0141964446146765,-0.47825832027253273
고영표,1.6209663573478637,0.6683904827282353
곽빈,0.1564264831075715,-0.0651314125012018
금민철,-6.897517073645389,-2.351655450589077
김광현,0.3985736928075856,0.08213721589691417
김민,-4.528145321181863,-1.5300529919298622
김민우,-1.0145091371640635,-0.36837758376378804
김원중,-5.417916849546534,-2.3137074412962106
네일,2.9743216753142194,1.0662842014825333
니퍼트,0.14553857820534696,-0.028046680421425534
다익손,-1.344394329536712,-0.4826776617743249
데스파이네,-1.4231683570032498,-0.5187363818406062
라이트,-2.0921187422302148,-0.7949887329225901
라일리,4.175504326470401,1.1296476422848034
레예스,-0.33445084643412876,-0.08749802011887925
레일리,-0.6629696357008372,-0.29415759695034904
로건,-1.4438516924500249,-0.6192622204580128
로치,-4.19982128419938,-1.3913158376952137
루친스키,1.8895731699733034,0.6708596136068342
류제국,-0.9064722344385301,-0.39841754174134025
류현진,-0.3166956437547989,-0.15906683723043508
린드블럼,1.365062244946295,0.4375014685262825
문승원,-1.566683580500201,-0.4834641661495998
미란다,5.585717947935045,1.6390352194610744
박세웅,-1.045090488158609,-0.3898786165328621
박종훈,-1.5097863960697209,-0.5338723421268159
반즈,1.484345598347659,0.43459505879817373
백정현,-1.0130661746402665,-0.12652440013354316
베렛,-2.475420971569277,-1.1175618243071748
벤자민,1.2201411248400742,0.2539774591045212
보니야,-2.627358001949324,-1.1401250573415966
보우덴,1.092467879219369,0.3603482742940878
뷰캐넌,0.6658713883397437,0.33987623088173574
브룩스,3.36048416855646,1.3036280992766822
브리검,0.12368552718224686,0.09271499671359107
산체스,0.4748063293544734,0.12986223352774473
샘슨,0.8980073804185236,-0.123019225813704
서폴드,-2.1101309273100193,-0.612737823520167
소사,-0.7614257559142789,-0.2535326143506867
소형준,0.8574665565840774,0.4293209797907177
손주영,-0.41381261983775186,-0.15471407399496545
송승기,0.06585244242105026,-0.023957644172004314
수아레즈,2.8735352916127557,1.0359516015640864
스탁,-0.8631923492197655,-0.3555064437400755
스튜어트,-1.9492283650297983,-0.7270873660563707
스트레일리,2.403815551187355,0.713841471409228
신민혁,-1.7188518447670438,-0.5733187240126656
신재영,-1.411410276184712,-0.2615191038335904
아델만,-2.8401220089860915,-1.1017813388692104
안우진,5.358886496674441,1.7780430612317564
알칸타라,1.6176099299890498,0.7069244067219929
앤더슨,7.372848902037079,2.1869975658525456
양현종,-0.3634785536569971,-0.10593383116808297
엄상백,-0.10783390683396332,-0.28291789413789536
엔스,0.16942233227719006,-0.07222099142039004
오원석,-3.525032988953501,-1.2402738646923694
올러,3.0307749194483886,0.8254806901238803
와이스,4.84870186492549,1.5180239685341812
요키시,1.9190246603297603,0.8487844388873573
원태인,0.29030616712774054,0.2327525663031525
윌랜드,-2.441700181948889,-0.9792469568307833
윌슨,0.5571273000444561,0.2700158605817668
윌커슨,0.6241767548228507,0.22071816001534397
유희관,-2.9371648330704,-0.7595235832153264
윤성환,-2.914512910803573,-0.8210925646767807
이영하,-1.474646326260523,-0.24031604532763726
이용찬,-1.3379584294965678,-0.37114356742037624
이의리,1.2136617905762455,0.2108748221458569
이재학,-1.8667956154015404,-0.6637569909902932
임기영,-1.2127875200599956,-0.5039086167831018
임찬규,-1.29704427526066,-0.47520455517383414
장원준,-0.007663355512699727,0.08986975501375152
잭로그,2.991285977421274,1.1230682719085752
지크,-4.062767490634296,-1.6176418975405567
차우찬,-1.7731485956976527,-0.6806976368844273
채드벨,-0.20717103383426508,0.007705990252593706
최원준,-0.35620583718585574,0.01995883246092195
최원태,-0.6948955500555459,-0.2087274547943917
최채흥,0.6151479556529507,0.22811457450943318
치리노스,0.9174852163964872,0.4355986560754311
카펜터,1.1372432011301565,0.17084179695449378
켈리,1.0434330467860538,0.4066982659452458
코너,2.6866744133043436,0.8733536749960965
콜어빈,-1.8370126478050357,-0.8098851973569068
쿠에바스,-0.06348462131795184,0.04425445171714192
킹험,2.40336183772413,0.8583656014427568
터너,-3.6779648040475346,-1.423217551490292
팻딘,-1.2518117650088962,-0.48078264380202174
페냐,1.0070560637798738,0.4005886988520667
페디,6.2514977642454514,2.080595999463529
폰세,7.941292044297804,2.455628209872668
폰트,3.612774581426613,1.2247148027713168
프랑코,-2.9494366339482694,-1.177743965629971
플럿코,3.921330496071816,1.4528707191784214
피어밴드,-0.4931756321295649,-0.19553840997367158
핀토,-6.51964488669947,-2.4347521801909195
하영민,-2.1946991823033986,-0.8093427973889653
하트,4.974527292061744,1.5713638733593283
한현희,-3.807934110826215,-1.2614934907161197
해커,-0.20756505350523846,0.19816334188946383
헤이수스,1.2568826068124497,0.25316682769601484
헥터,-0.8614967347896489,-0.22541320272764986
후라도,2.0125437067519276,0.8357678973319204
후랭코프,1.345391371814392,0.4490806891709449
