player_id,player_name,birth_year
10008,김선빈,1989.0
10014,안치홍,1990.0
10030,나지완,1985.0
10035,이용규,1985.0
10082,이재원,1982.0
10092,나주환,1984.0
10093,모창민,1985.0
10096,박정권,1981.0
10101,이호준,1976.0
10103,정근우,1982.0
10106,최정,1987.0
10108,김강민,1982.0
10119,이명기,1987.0
10165,양의지,1987.0
10168,이성열,1984.0
10170,최재훈,1989.0
10174,김재호,1985.0
10178,오재원,1985.0
10180,이원석,1983.0
10182,최주환,1988.0
10183,최준석,1983.0
10184,허경민,1990.0
10187,김현수,1988.0
10188,민병헌,1987.0
10189,박건우,1990.0
10192,이종욱,1980.0
10195,정수빈,1990.0
10232,강민호,1985.0
10235,장성우,1989.0
10238,김민성,1988.0
10239,김주찬,1981.0
10251,이대호,1982.0
10253,정훈,1987.0
10261,손아섭,1988.0
10266,전준우,1986.0
10312,이지영,1986.0
10320,김상수,1987.0
10322,박석민,1985.0
10324,백상원,1988.0
10344,최형우,1984.0
10387,박동원,1990.0
10400,오재일,1986.0
10407,황재균,1987.0
10469,박경수,1984.0
10470,박병호,1986.0
10475,오지환,1990.0
10485,박용택,1979.0
10486,서동욱,1984.0
10493,이택근,1980.0
10552,김태균,1982.0
10555,송광민,1983.0
10559,이범호,1981.0
10627,유한준,1981.0
10636,김성현,1986.0
10640,김헌곤,1988.0
10643,김재환,1988.0
10644,윤석민,1986.0
10648,김문호,1987.0
10655,정의윤,1986.0
10659,고종욱,1989.0
10753,유강남,1992.0
10804,박승욱,1992.0
10815,한동민,1989.0
10840,신본기,1989.0
10855,서건창,1989.0
10881,이승엽,1976.0
10891,박세혁,1990.0
10892,구자욱,1993.0
10894,류지혁,1994.0
10913,하주석,1994.0
10935,이천웅,1988.0
11087,강승호,1994.0
11137,박민우,1993.0
11162,나성범,1989.0
11165,노진혁,1989.0
11172,권희동,1990.0
11190,박해민,1990.0
11212,배정대,1995.0
11213,양석환,1991.0
11215,채은성,1990.0
11224,김하성,1995.0
11233,이창진,1991.0
11252,테임즈,1986.0
11255,강한울,1991.0
11261,박찬호,1973.0
11264,필,1988.0
11268,노수광,1990.0
11334,심우준,1995.0
11339,김민혁,1994.0
11376,송성문,1996.0
11495,히메네스,1988.0
12511,로사리오,1989.0
12514,고메즈,1988.0
12516,이형종,1989.0
12517,에반스,1986.0
12519,대니돈,1984.0
12534,최원준,1995.0
12546,홍창기,1993.0
12548,김동엽,1990.0
12585,김태연,1996.0
12905,김혜성,1999.0
12906,이정후,1998.0
12922,박성한,1998.0
12936,김성윤,1999.0
12943,조용호,1988.0
12947,스크럭스,1987.0
12950,버나디나,1984.0
12956,번즈,1990.0
12961,러프,1986.0
12991,로맥,1985.0
12995,로하스,1989.0
13056,신민재,1996.0
13069,호잉,1989.0
13112,문성주,1997.0
13137,정은원,2000.0
13145,한동희,1999.0
13168,강백호,2000.0
13288,샌즈,1987.0
13927,페르난데스,1988.0
14125,노시환,2000.0
14137,문보경,2000.0
14160,고승민,2000.0
14181,오선우,1996.0
14220,서호철,1996.0
14224,터커,1990.0
14587,최지훈,1997.0
14591,이주형,2001.0
14592,라모스,1992.0
14599,알테어,1991.0
14618,김지찬,2001.0
14629,마차도,1992.0
14757,피렐라,1989.0
14765,김주원,2002.0
14785,김휘집,2002.0
14797,나승엽,2002.0
14807,고명준,2002.0
14867,김현준,1998.0
14888,추신수,1982.0
14996,소크라테스,1992.0
15004,푸이그,1990.0
15008,마티니,1990.0
15012,터크먼,1990.0
15034,이재현,1999.0
15035,김영웅,2003.0
15048,윤동희,2003.0
15056,김도영,2003.0
15092,안현민,2003.0
15144,알포드,1994.0
15253,김민석,1964.0
15422,문현빈,2004.0
15530,에레디아,1991.0
15532,오스틴,1991.0
15537,마틴,1983.0
15539,로하스,1993.0
16066,데이비슨,1991.0
16106,레이예스,1994.0
16121,페라자,1998.0
16162,디아즈,1996.0
16262,위즈덤,1991.0
16300,케이브,1992.0
10058,양현종,1988.0
10126,김광현,1988.0
10131,박종훈,1991.0
10213,유희관,1986.0
10217,이용찬,1989.0
10220,이재학,1990.0
10299,장원준,1985.0
10363,백정현,1987.0
10368,윤성환,1981.0
10381,차우찬,1987.0
10425,금민철,1986.0
10590,류현진,1987.0
10641,니퍼트,1981.0
10652,임찬규,1992.0
10783,문승원,1989.0
10825,김원중,1993.0
10863,한현희,1993.0
10909,임기영,1993.0
10933,소사,1985.0
11090,류제국,1983.0
11149,신재영,1989.0
11156,해커,1983.0
11222,하영민,1995.0
11308,고영표,1991.0
11310,박세웅,1995.0
11318,엄상백,1996.0
11368,켈리,1988.0
11379,최원태,1997.0
11380,피어밴드,1985.0
11392,레일리,1985.0
11393,린드블럼,1987.0
11410,김민우,1995.0
11497,스튜어트,1986.0
12295,윌커슨,1989.0
12509,헥터,1987.0
12510,지크,1989.0
12515,보우덴,1986.0
12568,이영하,1998.0
12852,최원준,1995.0
12908,손주영,1998.0
12949,팻딘,1989.0
12959,로치,1989.0
12992,브리검,1988.0
13058,후랭코프,1988.0
13061,곽빈,1999.0
13062,윌슨,1989.0
13063,산체스,1989.0
13064,아델만,1987.0
13066,베렛,1990.0
13068,샘슨,1991.0
13085,신민혁,1999.0
13091,안우진,1999.0
13156,최채흥,1995.0
13167,김민,1999.0
13178,보니야,1990.0
13924,윌랜드,1990.0
13925,터너,1991.0
13932,루친스키,1988.0
13933,다익손,1994.0
13934,켈리,1989.0
13938,서폴드,1990.0
13939,채드벨,1989.0
13940,요키시,1989.0
13941,알칸타라,1992.0
13942,쿠에바스,1990.0
14113,원태인,2000.0
14581,오원석,2001.0
14582,킹험,1991.0
14583,핀토,1994.0
14596,라이트,1990.0
14600,소형준,2001.0
14602,데스파이네,1987.0
14609,가뇽,1990.0
14610,브룩스,19990.0
14617,뷰캐넌,1989.0
14627,스트레일리,1988.0
14751,미란다,1989.0
14756,프랑코,1992.0
14759,폰트,1990.0
14760,카펜터,1985.0
14788,이의리,2002.0
14846,송승기,2002.0
14999,스탁,1989.0
15001,수아레즈,1992.0
15003,플럿코,1991.0
15011,반즈,1995.0
15143,벤자민,1993.0
15146,페냐,1990.0
15531,후라도,1996.0
15535,페디,1993.0
15860,코너,1996.0
15861,레예스,1996.0
16023,엔스,1991.0
16065,하트,1992.0
16088,네일,1993.0
16138,헤이수스,1996.0
16146,앤더슨,1994.0
16153,와이스,1996.0
16261,올러,1994.0
16286,치리노스,1993.0
16298,콜어빈,1994.0
16299,잭로그,1996.0
16313,폰세,1994.0
16349,라일리,1996.0
16350,로건,1997.0
